"","x"
"460","Il31ra"
"461","Il4ra"
"462","Il5ra"
"463","Il6ra"
"464","Il6st"
"465","Il7r"
"466","Il9r"
"467","Ildr1"
"468","Ildr2"
"469","Insr"
"470","Islr2"
"471","Itga1"
"472","Itga10"
"473","Itga11"
"474","Itga2"
"475","Itga2b"
"476","Itga3"
"477","Itga4"
"478","Itga5"
"479","Itga6"
"480","Itga7"
"481","Itga8"
"482","Itga9"
"483","Itgad"
"484","Itgae"
"485","Itgal"
"486","Itgam"
"487","Itgav"
"488","Itgax"
"489","Itgb1"
"490","Itgb2"
"491","Itgb3"
"492","Itgb4"
"493","Itgb5"
"494","Itgb6"
"495","Itgb7"
"496","Itgb8"
"497","Itln1"
"498","Iyd"
"499","Izumo1r"
"500","Jam2"
"501","Jam3"
"502","Jmjd6"
"503","Kcna3"
"504","Kcnd1"
"505","Kcnd2"
"506","Kcnh1"
"507","Kcnj10"
"508","Kcnj15"
"509","Kcnj4"
"510","Kdr"
"511","AU040320"
"512","Kirrel1"
"513","Kiss1r"
"514","Kit"
"515","Klb"
"516","Klkb1"
"517","Klrd1"
"518","Klrg1"
"519","Klrg2"
"520","Klrk1"
"521","Kremen1"
"522","Kremen2"
"523","L1cam"
"524","Lag3"
"525","Lair1"
"526","Lamp1"
"527","Lamp2"
"528","Lat"
"529","Layn"
"530","Lctl"
"531","Ldlr"
"532","Lepr"
"533","Lgr4"
"534","Lgr5"
"535","Lgr6"
"536","Lhcgr"
"537","Lifr"
"538","Lin7c"
"539","Lingo1"
"540","Lmbr1l"
"541","Lpar1"
"542","Lpar2"
"543","Lpar3"
"544","Lpar4"
"545","Lpl"
"546","Lrch4"
"547","Lrfn2"
"548","Lrfn5"
"549","Lrp1"
"550","Lrp11"
"551","Lrp12"
"552","Lrp2"
"553","Lrp4"
"554","Lrp5"
"555","Lrp6"
"556","Lrp8"
"557","Lrpap1"
"558","Lrrc4"
"559","Lrrc4c"
"560","Lrrn3"
"561","Lrrtm2"
"562","Lrrtm4"
"563","Lsr"
"564","Ltbr"
"565","Ltk"
"566","Lvrn"
"567","Ly6g6f"
